train_pitch_type_acc,train_desc_acc,train_event_acc,val_pitch_type_acc,val_desc_acc,val_event_acc,epoch,train_loss,val_loss
44.389447567402456,37.16580595712149,50.11959037970101,,,,,,
,,,47.21980874464388,37.74665378777425,51.03492403612934,,,
,,,,,,1.0,5.044246612648499,4.780540095468803
47.30557071800088,37.79015697687019,51.19249401428141,,,,,,
,,,47.840282349893684,37.90336888170474,51.37072253718832,,,
,,,,,,2.0,4.765766061947446,4.728492654977983
47.72994311919615,37.942267110912326,51.362735166515186,,,,,,
,,,48.14721373757434,37.98931577598612,51.44462796799746,,,
,,,,,,3.0,4.740059527384319,4.714426821285294
48.37828516058687,38.173781887466085,51.61233126225197,,,,,,
,,,48.84040647159772,38.171657237477575,51.582022627958075,,,
,,,,,,4.0,4.6998580888067085,4.680074729218824
48.51557318932026,38.22698102761036,51.62497845637276,,,,,,
,,,48.966416984166386,38.190975576100456,51.59888695445144,,,
,,,,,,5.0,4.69330429762767,4.675087587828875
48.595815210043604,38.24427074815724,51.63241798232617,,,,,,
,,,48.968575622497326,38.18624455439689,51.65444002995898,,,
,,,,,,6.0,4.689685738549191,4.673030637048935
48.95319563847531,38.397366051461304,51.80439502394908,,,,,,
,,,49.28643511672837,38.347493544126635,51.68221656771275,,,
,,,,,,7.0,4.666867546570839,4.653691979735014
48.99571042340477,38.42662557854065,51.80600692123898,,,,,,
,,,49.329203138660134,38.35912397248122,51.715945220699474,,,
,,,,,,8.0,4.663340746516381,4.651626014347088
49.06179208752988,38.43288140335391,51.79187182192751,,,,,,
,,,49.38708162890848,38.37607680025232,51.68866469254845,,,
,,,,,,9.0,4.661353047688802,4.64957421334806
49.26381317499807,38.538688582085285,51.939918388400294,,,,,,
,,,49.5685421636032,38.448619133040275,51.720905316726935,,,
,,,,,,10.0,4.646624195132101,4.63911578653733
49.32450041756194,38.550559871691554,51.93024700466086,,,,,,
,,,49.61994473885873,38.442113978197874,51.73727363361755,,,
,,,,,,11.0,4.644172272942694,4.63777420715564
49.32908567588899,38.57036177385637,51.94475408027,,,,,,
,,,49.59592988742701,38.45433578426541,51.73181752798734,,,
,,,,,,12.0,4.642882479171572,4.63761138312042
49.48903027517956,38.62464460018876,52.018653371407176,,,,,,
,,,49.7218054851,38.511305170612474,51.81514714124865,,,
,,,,,,13.0,4.633646510917803,4.630974242927305
49.52527404504409,38.64528389622621,52.02683684995592,,,,,,
,,,49.712361442402134,38.521358591732536,51.79133868031685,,,
,,,,,,14.0,4.631925181481731,4.630115514770952
49.527027232051495,38.644939086984536,52.03378040751243,,,,,,
,,,49.72194039999568,38.51327642965562,51.834491515755744,,,
,,,,,,15.0,4.630897833521368,4.629446139586281
49.615698036464266,38.70646290739212,52.08796495487307,,,,,,
,,,49.755938953708004,38.5783279780796,51.89550069689349,,,
,,,,,,16.0,4.625141088526492,4.626074199060461
49.6416586902277,38.71409796917208,52.109663572237174,,,,,,
,,,49.75418506006411,38.570837193715626,51.88607651444132,,,
,,,,,,17.0,4.624221865034066,4.625823651483499
49.62513827419642,38.71582201538046,52.1060678013597,,,,,,
,,,49.769565358172066,38.560783772595556,51.900956802523694,,,
,,,,,,18.0,4.6237542989040685,4.625480181058046
49.70504314357219,38.75606617973034,52.135949897272546,,,,,,
,,,49.77779516680878,38.58325612568748,51.8880605528523,,,
